"latinName";"kiswahiliName";"fishingGround";"date";"lunarCycle";"month";"season";"metier";"wpue";"reef";"depth.int.std";"seagrass.int.std";"temperature.std";"X.utm";"Y.utm"
"190";"Lethrinus lentjan ";"Changu njana";"Bimbi Kubwa";"2014-05-26";4;5;"SEMS";21;0.0372;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"196";"Scarus ghobban";"Pono kawaida";"Bimbi Kubwa";"2014-05-26";4;5;"SEMS";21;0.0456;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"197";"Siganus sutor";"Tasi uzi";"Bimbi Kubwa";"2014-05-26";4;5;"SEMS";21;0.237;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"200";"Lutjanus fulviflamma";"Changu ginge kawaida";"Bimbi Kubwa";"2014-05-27";4;5;"SEMS";21;0.059;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"202";"Lethrinus mahsena";"Changu tuku";"Bimbi Kubwa";"2014-05-27";4;5;"SEMS";21;0.3605;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"206";"Leptoscarus vaigiensis";"Pono bodwe";"Bimbi Kubwa";"2014-05-27";4;5;"SEMS";21;0.06;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"207";"Scarus ghobban";"Pono kawaida";"Bimbi Kubwa";"2014-05-27";4;5;"SEMS";21;0.013;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"209";"Siganus sutor";"Tasi uzi";"Bimbi Kubwa";"2014-05-27";4;5;"SEMS";21;0.389;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"210";"Lethrinus lentjan ";"Changu njana";"Bimbi Kubwa";"2014-05-08";1;5;"SEMS";46;2.07133333333333;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"212";"Siganus sutor";"Tasi uzi";"Bimbi Kubwa";"2014-05-08";1;5;"SEMS";46;2.262;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"215";"Lethrinus lentjan ";"Changu njana";"Bimbi Kubwa";"2014-05-08";1;5;"SEMS";59;1.50266666666667;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"216";"Siganus sutor";"Tasi uzi";"Bimbi Kubwa";"2014-05-08";1;5;"SEMS";59;0.78;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"218";"Lethrinus lentjan ";"Changu njana";"Bimbi Kubwa";"2014-05-17";2;5;"SEMS";59;4.43;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"220";"Lethrinus lentjan ";"Changu njana";"Bimbi Kubwa";"2014-05-22";4;5;"SEMS";59;1.49666666666667;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"221";"Siganus sutor";"Tasi uzi";"Bimbi Kubwa";"2014-05-22";4;5;"SEMS";59;1.83666666666667;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"223";"Lethrinus lentjan ";"Changu njana";"Bimbi Kubwa";"2014-05-29";3;5;"SEMS";59;2.10933333333333;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"227";"Leptoscarus vaigiensis";"Pono bodwe";"Bimbi Kubwa";"2014-05-10";1;5;"SEMS";92;1.01983333333333;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"232";"Leptoscarus vaigiensis";"Pono bodwe";"Bimbi Kubwa";"2014-05-11";1;5;"SEMS";92;1.2;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"240";"Lethrinus mahsena";"Changu tuku";"Bimbi Kubwa";"2014-05-21";4;5;"SEMS";102;0.036;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"245";"Lethrinus mahsena";"Changu tuku";"Bimbi Kubwa";"2014-05-28";3;5;"SEMS";102;0.105;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"251";"Lethrinus mahsena";"Changu tuku";"Bimbi Kubwa";"2014-05-28";3;5;"SEMS";114;0.046;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"253";"Lethrinus mahsena";"Changu tuku";"Bimbi Kubwa";"2014-11-04";1;11;"NEMS";21;1.09285714285714;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"257";"Siganus sutor";"Tasi uzi";"Bimbi Kubwa";"2014-11-20";4;11;"NEMS";21;0.250866666666667;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"262";"Lethrinus mahsena";"Changu tuku";"Bimbi Kubwa";"2014-11-08";2;11;"NEMS";42;0.15;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"266";"Siganus sutor";"Tasi uzi";"Bimbi Kubwa";"2014-11-08";2;11;"NEMS";42;3.47;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"267";"Lethrinus mahsena";"Changu tuku";"Bimbi Kubwa";"2014-11-18";4;11;"NEMS";59;0.0733333333333333;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"268";"Leptoscarus vaigiensis";"Pono bodwe";"Bimbi Kubwa";"2014-11-18";4;11;"NEMS";59;0.1;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"269";"Siganus sutor";"Tasi uzi";"Bimbi Kubwa";"2014-11-18";4;11;"NEMS";59;3.33333333333333;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"272";"Lethrinus lentjan ";"Changu njana";"Bimbi Kubwa";"2014-11-24";3;11;"NEMS";42;2.516;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"274";"Scarus ghobban";"Pono kawaida";"Bimbi Kubwa";"2014-11-24";3;11;"NEMS";42;6.25;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"276";"Siganus sutor";"Tasi uzi";"Bimbi Kubwa";"2014-11-24";3;11;"NEMS";42;0.275;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"278";"Lethrinus mahsena";"Changu tuku";"Bimbi Kubwa";"2014-11-24";3;11;"NEMS";42;0.0815;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"280";"Siganus sutor";"Tasi uzi";"Bimbi Kubwa";"2014-11-24";3;11;"NEMS";42;1.484;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"281";"Lethrinus mahsena";"Changu tuku";"Bimbi Kubwa";"2014-11-24";3;11;"NEMS";42;3.822;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"285";"Scarus ghobban";"Pono kawaida";"Bimbi Kubwa";"2014-11-24";3;11;"NEMS";42;0.27;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"287";"Siganus sutor";"Tasi uzi";"Bimbi Kubwa";"2014-11-24";3;11;"NEMS";42;1.626;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"290";"Lutjanus fulviflamma";"Changu ginge kawaida";"Bimbi Kubwa";"2014-11-30";1;11;"NEMS";42;0.161;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"293";"Siganus sutor";"Tasi uzi";"Bimbi Kubwa";"2014-11-30";1;11;"NEMS";42;0.193;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"294";"Lethrinus lentjan ";"Changu njana";"Bimbi Kubwa";"2014-11-30";1;11;"NEMS";42;0.75;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"301";"Lethrinus lentjan ";"Changu njana";"Bimbi Kubwa";"2014-11-30";1;11;"NEMS";59;0.0885;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"302";"Lethrinus mahsena";"Changu tuku";"Bimbi Kubwa";"2014-11-30";1;11;"NEMS";59;0.251;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"303";"Siganus sutor";"Tasi uzi";"Bimbi Kubwa";"2014-11-30";1;11;"NEMS";59;4.9865;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"306";"Lethrinus mahsena";"Changu tuku";"Bimbi Kubwa";"2014-11-30";1;11;"NEMS";42;0.998;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"312";"Siganus sutor";"Tasi uzi";"Bimbi Kubwa";"2014-11-30";1;11;"NEMS";42;1.153;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"359";"Lethrinus lentjan ";"Changu njana";"Bimbi Kubwa";"2014-10-09";2;10;"SEMS";21;0.192307692307692;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"364";"Lethrinus lentjan ";"Changu njana";"Bimbi Kubwa";"2014-10-25";3;10;"SEMS";21;0.0130769230769231;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"366";"Lethrinus mahsena";"Changu tuku";"Bimbi Kubwa";"2014-10-25";3;10;"SEMS";21;0.0372307692307692;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"369";"Siganus sutor";"Tasi uzi";"Bimbi Kubwa";"2014-10-25";3;10;"SEMS";21;0.600769230769231;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"370";"Siganus sutor";"Tasi uzi";"Bimbi Kubwa";"2014-10-07";1;10;"SEMS";62;3.5;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"371";"Lethrinus mahsena";"Changu tuku";"Bimbi Kubwa";"2014-10-16";4;10;"SEMS";59;0.6655;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"372";"Siganus sutor";"Tasi uzi";"Bimbi Kubwa";"2014-10-16";4;10;"SEMS";59;2.5795;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"375";"Lethrinus lentjan ";"Changu njana";"Bimbi Kubwa";"2014-10-16";4;10;"SEMS";59;1.316;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"376";"Lethrinus mahsena";"Changu tuku";"Bimbi Kubwa";"2014-10-16";4;10;"SEMS";59;0.291333333333333;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"378";"Siganus sutor";"Tasi uzi";"Bimbi Kubwa";"2014-10-16";4;10;"SEMS";59;1.888;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"379";"Lethrinus mahsena";"Changu tuku";"Bimbi Kubwa";"2014-10-16";4;10;"SEMS";62;0.04;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"380";"Scarus ghobban";"Pono kawaida";"Bimbi Kubwa";"2014-10-16";4;10;"SEMS";62;0.0875;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"381";"Siganus sutor";"Tasi uzi";"Bimbi Kubwa";"2014-10-16";4;10;"SEMS";62;6.022;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"382";"Lethrinus mahsena";"Changu tuku";"Bimbi Kubwa";"2014-10-23";3;10;"SEMS";59;0.114;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"383";"Scarus ghobban";"Pono kawaida";"Bimbi Kubwa";"2014-10-23";3;10;"SEMS";59;0.348;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"384";"Siganus sutor";"Tasi uzi";"Bimbi Kubwa";"2014-10-23";3;10;"SEMS";59;1.54;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"385";"Lethrinus mahsena";"Changu tuku";"Bimbi Kubwa";"2014-10-23";3;10;"SEMS";59;0.034;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"386";"Siganus sutor";"Tasi uzi";"Bimbi Kubwa";"2014-10-23";3;10;"SEMS";59;4.44933333333333;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"389";"Lethrinus lentjan ";"Changu njana";"Bimbi Kubwa";"2014-10-30";3;10;"SEMS";46;0.183;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"390";"Lethrinus mahsena";"Changu tuku";"Bimbi Kubwa";"2014-10-30";3;10;"SEMS";46;0.2375;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"392";"Siganus sutor";"Tasi uzi";"Bimbi Kubwa";"2014-10-30";3;10;"SEMS";46;0.7935;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"395";"Lethrinus lentjan ";"Changu njana";"Bimbi Kubwa";"2014-10-30";3;10;"SEMS";42;1.128;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"396";"Lethrinus mahsena";"Changu tuku";"Bimbi Kubwa";"2014-10-30";3;10;"SEMS";42;0.464;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"402";"Scarus ghobban";"Pono kawaida";"Bimbi Kubwa";"2014-10-30";3;10;"SEMS";42;0.111666666666667;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"403";"Siganus sutor";"Tasi uzi";"Bimbi Kubwa";"2014-10-30";3;10;"SEMS";42;0.15;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"405";"Siganus sutor";"Tasi uzi";"Bimbi Kubwa";"2014-10-30";3;10;"SEMS";62;0.55;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"407";"Lethrinus lentjan ";"Changu njana";"Bimbi Kubwa";"2014-10-06";1;10;"SEMS";102;0.1;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"417";"Lethrinus mahsena";"Changu tuku";"Bimbi Kubwa";"2014-10-22";4;10;"SEMS";102;0.23;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"422";"Lethrinus lentjan ";"Changu njana";"Bimbi Kubwa";"2014-10-29";3;10;"SEMS";102;0.405;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"436";"Siganus sutor";"Tasi uzi";"Bimbi Kubwa";"2014-09-11";2;9;"SEMS";42;3.896;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"437";"Siganus sutor";"Tasi uzi";"Bimbi Kubwa";"2014-09-11";2;9;"SEMS";59;2.5;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"439";"Siganus sutor";"Tasi uzi";"Bimbi Kubwa";"2014-09-11";2;9;"SEMS";42;1.33333333333333;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"441";"Lethrinus mahsena";"Changu tuku";"Bimbi Kubwa";"2014-09-17";4;9;"SEMS";42;0.170666666666667;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"443";"Siganus sutor";"Tasi uzi";"Bimbi Kubwa";"2014-09-17";4;9;"SEMS";42;0.406;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"449";"Siganus sutor";"Tasi uzi";"Bimbi Kubwa";"2014-09-25";3;9;"SEMS";42;5.5;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
"450";"Lethrinus mahsena";"Changu tuku";"Bimbi Kubwa";"2014-09-25";3;9;"SEMS";42;3.005;1;1.12414970834402;1.06195318904937;-1.0423501277305;551791.028587043;9327045.27009889
